Easting,Northing,Z,sonic
32611.27,4623.15,2.04,!tnw01.2m
32611.25,4623.15,9.94,!tnw01.10m
32611.31,4623.22,20.01,!tnw01.20m
32802.56,4751.43,2.03,!tnw02.2m
32805.95,4749.07,9.92,!tnw02.10m
32805.95,4749.09,19.99,!tnw02.20m
32917.67,4860.89,2.26,!tnw03.2m
32917.67,4860.89,10.24,!tnw03.10m
33160.42,4962.95,2.11,!tnw04.2m
33160.42,4962.96,4.28,!tnw04.4m
33160.45,4962.96,5.95,!tnw04.6m
33160.44,4962.95,8.1,!tnw04.8m
33160.43,4962.96,10.25,!tnw04.10m
33157.2,4965.45,12.52,!tnw04.12m
33157.14,4965.3,20.31,!tnw04.20m
33202.15,5042.62,2.13,!tnw05.2m
33202.15,5042.64,4.07,!tnw05.4m
33202.17,5042.67,6.24,!tnw05.6m
33202.17,5042.65,8.33,!tnw05.8m
33202.19,5042.52,10.2,!tnw05.10m
33202.17,5042.67,12.24,!tnw05.12m
33205.01,5039.67,19.53,!tnw05.20m
33434.16,5224.15,2.36,!tnw06.2m
33434.17,5224.19,4.17,!tnw06.4m
33434.17,5224.18,6.3,!tnw06.6m
33434.16,5224.17,8.33,!tnw06.8m
33434.17,5224.14,10.4,!tnw06.10m
33434.16,5224.12,12.29,!tnw06.12m
33434.14,5224.11,20.35,!tnw06.20m
33587.28,5351.15,4.0,!tnw07.4m
33587.28,5351.17,5.84,!tnw07.6m
33587.28,5351.14,7.85,!tnw07.8m
33587.19,5351.35,10.14,!tnw07.10m
33587.18,5351.36,11.99,!tnw07.12m
33587.19,5351.44,20.01,!tnw07.20m
33587.11,5351.51,29.85,!tnw07.30m
33587.1,5351.52,40.08,!tnw07.40m
33587.03,5351.58,56.85,!tnw07.60m
33749.54,5479.01,2.54,!tnw08.2m
33749.49,5479.1,10.69,!tnw08.10m
33749.55,5479.12,20.38,!tnw08.20m
33864.02,5587.71,1.66,!tnw09.2m
33864.09,5587.83,9.4,!tnw09.10m
33952.0,5627.95,9.86,!tnw10.10m
33952.05,5628.03,19.51,!tnw10.20m
33952.07,5628.09,29.61,!tnw10.30m
33952.09,5628.17,39.87,!tnw10.40m
33952.12,5628.24,56.66,!tnw10.60m
34042.92,5696.15,2.5,!tnw11.2m
34043.05,5696.3,10.63,!tnw11.10m
34043.08,5696.31,20.96,!tnw11.20m
34095.92,5717.03,2.13,!tnw12.2m
34095.95,5717.01,4.16,!tnw12.4m
34096.0,5717.02,6.15,!tnw12.6m
34096.02,5717.03,8.24,!tnw12.8m
34095.74,5717.09,9.74,!tnw12.10m
34095.78,5717.11,11.85,!tnw12.12m
34095.58,5717.21,19.63,!tnw12.20m
34095.38,5717.3,27.3,!tnw12.30m
34140.58,5777.09,1.18,!tnw13.2m
34140.58,5777.09,3.09,!tnw13.4m
34140.59,5777.08,5.11,!tnw13.6m
34140.6,5777.06,7.16,!tnw13.8m
34140.93,5777.07,9.24,!tnw13.10m
34140.94,5777.08,11.17,!tnw13.12m
34141.39,5777.09,19.07,!tnw13.20m
34141.74,5777.18,26.9,!tnw13.30m
34222.96,5816.54,2.81,!tnw14.2m
34222.98,5816.55,3.87,!tnw14.4m
34222.99,5816.57,5.86,!tnw14.6m
34223.0,5816.58,7.91,!tnw14.8m
34222.72,5816.7,9.66,!tnw14.10m
34222.75,5816.69,11.61,!tnw14.12m
34222.49,5816.73,19.37,!tnw14.20m
34222.25,5816.77,27.13,!tnw14.30m
34273.24,5843.31,2.17,!tnw15.2m
34273.25,5843.31,4.18,!tnw15.4m
34273.25,5843.32,6.16,!tnw15.6m
34273.25,5843.31,8.22,!tnw15.8m
34272.94,5843.31,9.88,!tnw15.10m
34272.94,5843.3,11.84,!tnw15.12m
34272.62,5843.24,19.47,!tnw15.20m
34272.26,5843.25,27.17,!tnw15.30m
34350.06,5868.89,1.65,!tnw16.2m
34350.06,5868.89,3.68,!tnw16.4m
34350.06,5868.9,5.69,!tnw16.6m
34350.06,5868.89,7.73,!tnw16.8m
34349.75,5868.91,9.49,!tnw16.10m
34349.75,5868.9,11.43,!tnw16.12m
34349.41,5868.86,19.19,!tnw16.20m
34349.1,5868.88,26.99,!tnw16.30m
32960.82,3942.29,9.91,!tse01.10m
32960.89,3942.3,28.79,!tse01.30m
33260.15,4138.29,8.62,!tse02.10m
33260.07,4138.26,27.71,!tse02.30m
33394.24,4258.92,10.3,!tse04.10m
33394.2,4258.91,19.93,!tse04.20m
33394.17,4258.93,27.81,!tse04.30m
33394.22,4258.88,37.05,!tse04.40m
33394.17,4258.86,57.16,!tse04.60m
33394.14,4258.83,77.29,!tse04.80m
33394.11,4258.74,97.29,!tse04.100m
33497.76,4425.85,1.54,!tse05.2m
33636.63,4487.32,15.47,!tse06.10m
33636.61,4487.33,21.45,!tse06.20m
33636.59,4487.36,29.58,!tse06.30m
33636.58,4487.37,39.4,!tse06.40m
33636.56,4487.44,57.37,!tse06.60m
33818.24,4566.09,10.21,!tse07.10m
33821.93,4564.96,19.31,!tse07.20m
33977.68,4634.05,9.85,!tse08.10m
33977.69,4634.02,19.84,!tse08.20m
34153.34,4845.14,10.38,!tse09.10m
34153.27,4844.87,20.51,!tse09.20m
34153.19,4844.85,30.14,!tse09.30m
34153.07,4844.81,40.6,!tse09.40m
34152.88,4844.76,60.15,!tse09.60m
34152.77,4844.55,80.28,!tse09.80m
34152.59,4844.49,97.47,!tse09.100m
34274.41,4923.06,10.36,!tse10.10m
34274.28,4922.83,29.27,!tse10.30m
34334.59,4972.8,12.53,!tse11.10m
34334.49,4972.98,19.96,!tse11.20m
34334.39,4973.17,29.84,!tse11.30m
34334.23,4973.38,39.83,!tse11.40m
34333.94,4973.79,56.81,!tse11.60m
34446.38,5048.37,9.79,!tse12.10m
34448.07,5044.25,19.71,!tse12.20m
34536.23,5111.79,10.02,!tse13.10m
34536.18,5111.74,20.02,!tse13.20m
34536.12,5111.66,30.12,!tse13.30m
34536.09,5111.59,40.03,!tse13.40m
34535.96,5111.51,60.15,!tse13.60m
34535.76,5111.43,79.97,!tse13.80m
34535.63,5111.33,97.04,!tse13.100m
33730.51,3803.29,9.38,!rsw01.10m
33730.47,3803.33,19.91,!rsw01.20m
33633.48,3901.19,10.14,!rsw02.10m
33633.52,3901.21,20.06,!rsw02.20m
33569.6,4006.76,9.97,!rsw03.10m
33569.72,4006.8,19.79,!rsw03.20m
33569.85,4006.84,29.58,!rsw03.30m
33569.98,4006.89,40.13,!rsw03.40m
33570.16,4006.93,56.76,!rsw03.60m
33453.6,4169.17,9.92,!rsw04.10m
33195.8,4548.3,9.98,!rsw05.10m
33087.91,4686.07,10.3,!rsw06.10m
33087.93,4686.04,20.36,!rsw06.20m
33087.95,4686.05,30.21,!rsw06.30m
33087.99,4686.09,40.19,!rsw06.40m
33088.07,4686.09,57.15,!rsw06.60m
32822.84,5000.95,10.48,!rsw07.10m
32822.79,5000.9,20.37,!rsw07.20m
32734.34,5141.92,10.28,!rsw08.10m
32734.39,5141.88,20.31,!rsw08.20m
34886.81,4772.73,10.02,!rne01.10m
34737.43,4877.21,10.41,!rne02.10m
34737.48,4877.16,20.21,!rne02.20m
34630.65,5025.52,9.56,!rne03.10m
34414.87,5281.94,10.2,!rne04.10m
34178.25,5565.27,9.87,!rne06.10m
34178.3,5565.22,19.72,!rne06.20m
33886.53,5851.99,10.61,!rne07.10m
33886.6,5852.0,20.03,!rne07.20m
34575.05,4503.62,1.89,!v01.2m
34575.07,4503.54,9.92,!v01.10m
34235.99,4696.82,1.92,!v03.2m 
34235.97,4696.85,9.9,!v03.10m
33951.14,4978.78,2.09,!v04.2m
33951.14,4978.78,10.01,!v04.10m
33811.59,5125.8,2.27,!v05.2m
33814.75,5122.53,10.01,!v05.10m
33814.75,5122.56,20.02,!v05.20m
33704.27,5238.11,2.12,!v06.2m
33704.18,5238.12,10.0,!v06.10m
33704.35,5238.11,20.02,!v06.20m
33388.58,5457.11,2.08,!v07.2m
33388.62,5457.1,4.18,!v07.4m
33388.62,5457.11,5.92,!v07.6m
33388.62,5457.09,7.97,!v07.8m
33388.46,5457.21,9.92,!v07.10m
33388.62,5457.04,11.88,!v07.12m
33388.56,5457.11,20.01,!v07.20m
31630.72,3670.69,10.0,!Extreme_SW
34643.46,6174.68,9.4,!Extreme_NE
